,name,dataset,algorithm,accuracy,time,time-per-pattern,clique-precision,clique-recall,bipartite core-precision,bipartite core-recall,star-precision,star-recall,chain-precision,chain-recall,none-precision,none-recall
115,8-1662009390411,synthetic-7-84-9,Ours (RDM),0.6666666666666666,38779,9694.75,1.0,0.9259259259259259,0.5714285714285714,0.6666666666666666,0.5,1.0,0.0,0.0,0.6923076923076923,0.34615384615384615
116,7-1662008650057,synthetic-7-84-9,Ours (RDM),0.391304347826087,27474,13737.0,0.4,1.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.23636363636363636
117,12-1662090291751,synthetic-7-84-9,Ours (RDM),0.6521739130434783,48280,9656.0,0.76,1.0,0.5714285714285714,0.6666666666666666,0.5,1.0,0.3333333333333333,1.0,0.8461538461538461,0.3548387096774194
118,13-1662121289542,synthetic-7-84-9,Ours (RDM),0.7246376811594203,66265,13253.0,1.0,0.9259259259259259,0.5714285714285714,0.6666666666666666,0.625,1.0,0.3333333333333333,0.6,0.6923076923076923,0.45
119,14-1662122943293,synthetic-7-84-9,Ours (RDM),0.6231884057971014,70319,7813.222222222223,0.76,1.0,0.7142857142857143,0.5882352941176471,0.5,0.2857142857142857,0.3333333333333333,1.0,0.5384615384615384,0.4375
120,1-1661934866373,synthetic-1-87-3,Ours (RDM),0.9473684210526315,17296,4324.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,1.0,0.0,0.0
121,3-1661999533002,synthetic-1-87-3,Ours (RDM),0.9649122807017544,21115,5278.75,1.0,1.0,1.0,1.0,0.875,1.0,0.8571428571428571,1.0,0.0,0.0
122,5-1662002195049,synthetic-1-87-3,Ours (RDM),0.9824561403508771,32721,8180.25,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.0,0.0
123,9-1662010258606,synthetic-1-87-3,Ours (RDM),0.9473684210526315,27633,6908.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,1.0,0.0,0.0
124,0-1661933688574,synthetic-1-87-3,Ours (RDM),0.7368421052631579,53039,8839.833333333334,1.0,1.0,0.26666666666666666,1.0,0.875,0.7777777777777778,0.5714285714285714,0.5,0.0,0.0
125,11-1662013922332,synthetic-1-87-3,Ours (RDM),0.9298245614035088,18354,3670.8,1.0,1.0,1.0,1.0,0.875,0.7777777777777778,0.5714285714285714,1.0,0.0,0.0
126,2-1661935567051,synthetic-1-87-3,Ours (RDM),0.9298245614035088,18001,4500.25,1.0,1.0,1.0,1.0,0.875,1.0,0.5714285714285714,1.0,0.0,0.0
127,6-1662003410816,synthetic-1-87-3,Ours (RDM),0.9298245614035088,14207,3551.75,1.0,1.0,1.0,1.0,0.875,1.0,0.5714285714285714,1.0,0.0,0.0
128,10-1662013153023,synthetic-1-87-3,Ours (RDM),0.9298245614035088,20467,5116.75,1.0,1.0,1.0,1.0,0.875,1.0,0.5714285714285714,1.0,0.0,0.0
129,4-1662000612817,synthetic-1-87-3,Ours (RDM),0.8947368421052632,26571,6642.75,1.0,1.0,1.0,1.0,0.625,1.0,0.5714285714285714,1.0,0.0,0.0
130,8-1662009390411,synthetic-1-87-3,Ours (RDM),0.9298245614035088,21409,5352.25,1.0,1.0,1.0,1.0,0.875,1.0,0.5714285714285714,1.0,0.0,0.0
131,7-1662008650057,synthetic-1-87-3,Ours (RDM),0.6666666666666666,37688,7537.6,1.0,1.0,0.0,0.0,0.875,1.0,0.5714285714285714,0.5,0.0,0.0
132,12-1662090291751,synthetic-1-87-3,Ours (RDM),0.9473684210526315,21507,4301.4,1.0,1.0,1.0,1.0,1.0,0.8,0.5714285714285714,1.0,0.0,0.0
133,13-1662121289542,synthetic-1-87-3,Ours (RDM),0.9473684210526315,19220,4805.0,1.0,1.0,1.0,1.0,0.875,1.0,0.7142857142857143,1.0,0.0,0.0
134,14-1662122943293,synthetic-1-87-3,Ours (RDM),0.9298245614035088,16345,4086.25,1.0,1.0,1.0,1.0,0.875,1.0,0.5714285714285714,1.0,0.0,0.0
135,1-1661934866373,synthetic-3-94-3,Ours (RDM),0.9482758620689655,28361,5672.2,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,0.5,1.0,1.0,0.5
